"Status","Year","Age","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Commercial","UK Export Finance","UK Export Finance","60","60","40960","40340"
"In post","2023","20-29","Commercial","UK Health Security Agency","Department of Health and Social Care","10","10","38900","33150"
"In post","2023","20-29","Commercial","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Active Travel England","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Building Digital UK","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Cabinet Office (excl. agencies)","Cabinet Office","55","55","40120","35870"
"In post","2023","20-29","Communications","Central Civil Service Fast Stream","Cabinet Office","10","10","33660","34250"
"In post","2023","20-29","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Competition and Markets Authority","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Crown Prosecution Service","Attorney General's Departments","15","15","34830","32660"
"In post","2023","20-29","Communications","Defence Equipment and Support","Ministry of Defence","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","40","40","42130","40600"
"In post","2023","20-29","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","15","15","39580","38120"
"In post","2023","20-29","Communications","Department for Education (excl. agencies)","Department for Education","65","65","35890","35140"
"In post","2023","20-29","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","55","55","34270","33830"
"In post","2023","20-29","Communications","Department for International Trade","Department for International Trade","40","40","39970","41550"
"In post","2023","20-29","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","20","20","34800","31290"
"In post","2023","20-29","Communications","Department for Transport (excl. agencies)","Department for Transport","25","25","37620","35760"
"In post","2023","20-29","Communications","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","15","15","40190","44360"
"In post","2023","20-29","Communications","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","25","25","36720","34190"
"In post","2023","20-29","Communications","Driver and Vehicle Licensing Agency","Department for Transport","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Food Standards Agency","Food Standards Agency","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","30","30","40980","41360"
"In post","2023","20-29","Communications","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","25","25","37010","35000"
"In post","2023","20-29","Communications","HM Treasury (excl. agencies)","HM Treasury","15","15","34950","33560"
"In post","2023","20-29","Communications","Health and Safety Executive","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Home Office","Home Office","35","35","39040","38280"
"In post","2023","20-29","Communications","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","80","80","36060","34020"
"In post","2023","20-29","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","50","50","38290","35410"
"In post","2023","20-29","Communications","National Crime Agency","National Crime Agency","5","5","[c]","[c]"
"In post","2023","20-29","Communications","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Registers of Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Rural Payments Agency","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Serious Fraud Office","Attorney General's Departments","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","The National Archives","The National Archives","5","5","[c]","[c]"
"In post","2023","20-29","Communications","UK Export Finance","UK Export Finance","25","25","38790","38250"
"In post","2023","20-29","Communications","UK Health Security Agency","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2023","20-29","Communications","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","UK Statistics Authority","UK Statistics Authority","15","15","31460","31060"
"In post","2023","20-29","Communications","UK Supreme Court","UK Supreme Court","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Valuation Office Agency","HM Revenue and Customs","10","10","31860","32260"
"In post","2023","20-29","Communications","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Building Digital UK","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Cabinet Office (excl. agencies)","Cabinet Office","30","30","37000","35240"
"In post","2023","20-29","Counter Fraud","Companies House","Department for Business, Energy and Industrial Strategy","25","20","23680","21380"
"In post","2023","20-29","Counter Fraud","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","750","745","29150","28120"
"In post","2023","20-29","Counter Fraud","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1145","1135","31580","28130"
"In post","2023","20-29","Counter Fraud","Serious Fraud Office","Attorney General's Departments","35","35","32020","29680"
"In post","2023","20-29","Counter Fraud","The Insolvency Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","20-29","Debt","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","395","380","22520","21690"
"In post","2023","20-29","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1325","1285","23700","22520"
"In post","2023","20-29","Debt","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
