"Status","Year","Age","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2023","30-39","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Legal Aid Agency","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Legal Aid Agency","Ministry of Justice","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Maritime and Coastguard Agency","Department for Transport","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Met Office","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Ministry of Defence (excl. agencies)","Ministry of Defence","London","55","[c]","47500","45820"
"Leaver Dept.","2023","30-39","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","125","[c]","32850","33300"
"Leaver Dept.","2023","30-39","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Ministry of Justice (excl. agencies)","Ministry of Justice","London","90","[c]","46990","43650"
"Leaver Dept.","2023","30-39","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","55","[c]","37030","37680"
"Leaver Dept.","2023","30-39","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","National Crime Agency","National Crime Agency","London","15","[c]","43980","40340"
"Leaver Dept.","2023","30-39","National Crime Agency","National Crime Agency","Outside London","20","[c]","38280","36740"
"Leaver Dept.","2023","30-39","National Crime Agency","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","National Infrastructure Commission","HM Treasury","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","National Savings and Investments","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Northern Ireland Office","Northern Ireland Office","London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Northern Ireland Office","Northern Ireland Office","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Office for Budget Responsibility","HM Treasury","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Outside London","10","[c]","45200","46170"
"Leaver Dept.","2023","30-39","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","15","[c]","44280","47130"
"Leaver Dept.","2023","30-39","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","10","[c]","29980","30170"
"Leaver Dept.","2023","30-39","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Office of Rail and Road","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Office of Rail and Road","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Office of the Public Guardian","Ministry of Justice","Outside London","20","[c]","27360","25120"
"Leaver Dept.","2023","30-39","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Registers of Scotland","Scottish Government","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Revenue Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Royal Fleet Auxiliary","Ministry of Defence","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","15","[c]","26890","23320"
"Leaver Dept.","2023","30-39","Scottish Courts and Tribunals Service","Scottish Government","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Scottish Forestry","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Scottish Government (excl. agencies)","Scottish Government","Outside London","20","[c]","46400","42860"
"Leaver Dept.","2023","30-39","Scottish Prison Service","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Serious Fraud Office","Attorney General's Departments","London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Social Security Scotland","Scottish Government","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Standards and Testing Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Standards and Testing Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Submarine Delivery Agency","Ministry of Defence","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","10","[c]","31310","24000"
"Leaver Dept.","2023","30-39","The National Archives","The National Archives","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","UK Export Finance","UK Export Finance","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","UK Health Security Agency","Department of Health and Social Care","London","35","[c]","47730","41870"
"Leaver Dept.","2023","30-39","UK Health Security Agency","Department of Health and Social Care","Outside London","20","[c]","38260","28970"
"Leaver Dept.","2023","30-39","UK Hydrographic Office","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","UK Statistics Authority","UK Statistics Authority","London","15","[c]","46610","44420"
"Leaver Dept.","2023","30-39","UK Statistics Authority","UK Statistics Authority","Outside London","65","[c]","37440","36840"
"Leaver Dept.","2023","30-39","UK Supreme Court","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Valuation Office Agency","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Valuation Office Agency","HM Revenue and Customs","Outside London","20","[c]","29440","26020"
"Leaver Dept.","2023","30-39","Vehicle Certification Agency","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Welsh Government (excl. agencies)","Welsh Government","Outside London","20","[c]","42580","38160"
"Leaver Dept.","2023","30-39","Welsh Revenue Authority","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Active Travel England","Department for Transport","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","10","[c]","28550","25920"
"Leaver Dept.","2023","40-49","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Building Digital UK","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Cabinet Office (excl. agencies)","Cabinet Office","London","140","[c]","61660","61850"
"Leaver Dept.","2023","40-49","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","50","[c]","40700","38420"
"Leaver Dept.","2023","40-49","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Central Civil Service Fast Stream","Cabinet Office","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Central Civil Service Fast Stream","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Central Civil Service Fast Stream","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Charity Commission","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","10","[c]","44250","42990"
"Leaver Dept.","2023","40-49","Competition and Markets Authority","Competition and Markets Authority","London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Crown Commercial Service","Cabinet Office","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Crown Prosecution Service","Attorney General's Departments","London","10","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Crown Prosecution Service","Attorney General's Departments","Outside London","30","[c]","40560","38940"
"Leaver Dept.","2023","40-49","Defence Electronics and Components Agency","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Defence Equipment and Support","Ministry of Defence","Outside London","10","[c]","38600","39130"
"Leaver Dept.","2023","40-49","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","15","[c]","49130","49260"
"Leaver Dept.","2023","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","55","[c]","56020","53600"
"Leaver Dept.","2023","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","15","[c]","45070","37290"
"Leaver Dept.","2023","40-49","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","London","25","[c]","59240","53810"
"Leaver Dept.","2023","40-49","Department for Education (excl. agencies)","Department for Education","London","20","[c]","59940","64690"
"Leaver Dept.","2023","40-49","Department for Education (excl. agencies)","Department for Education","Outside London","65","[c]","44880","40980"
"Leaver Dept.","2023","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","35","[c]","[c]","[c]"
