"Status","Year","Function_of_post","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Department for Education (excl. agencies)","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","Department for Education","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","Department for Education","Project Delivery","25","25","47590","51360"
"In post","2023","Commercial","Department for Education (excl. agencies)","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","Department for Education","Statistics","5","5","[c]","[c]"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Commercial","150","145","36560","37300"
"In post","2023","Commercial","Department for International Trade","Department for International Trade","Commercial","35","35","39470","38160"
"In post","2023","Commercial","Department for International Trade","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for International Trade","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Commercial","30","30","43400","40390"
"In post","2023","Commercial","Department for Transport (excl. agencies)","Department for Transport","Commercial","150","145","50230","43750"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Project Delivery","35","35","32390","34170"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Commercial","50","45","42670","40190"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Other","5","5","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","30","30","43460","39190"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","Commercial","180","160","33940","31660"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Driver and Vehicle Standards Agency","Department for Transport","Commercial","40","40","37640","35950"
"In post","2023","Commercial","Driver and Vehicle Standards Agency","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Education and Skills Funding Agency","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Estyn","Estyn","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","Commercial","80","80","48740","44320"
"In post","2023","Commercial","Food Standards Agency","Food Standards Agency","Commercial","15","15","36960","37720"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Commercial","70","70","42140","41270"
"In post","2023","Commercial","Government Actuary's Department","Chancellor's other departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Government Commercial Organisation","Cabinet Office","Commercial","1400","1385","74630","67200"
"In post","2023","Commercial","Government Commercial Organisation","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Government Commercial Organisation","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Government Commercial Organisation","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Government Commercial Organisation","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Government Commercial Organisation","Cabinet Office","Security","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Government Commercial Organisation","Cabinet Office","Unknown","80","80","69350","65500"
"In post","2023","Commercial","Government Internal Audit Agency","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Land Registry","HM Land Registry","Commercial","20","20","45870","39520"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Commercial","75","65","40410","42140"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Delivery","25","25","36040","35000"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Tax","10","10","37960","38430"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","30","30","38720","35510"
"In post","2023","Commercial","HM Treasury (excl. agencies)","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Health and Safety Executive","Department for Work and Pensions","Commercial","35","35","47460","46780"
"In post","2023","Commercial","Health and Safety Executive","Department for Work and Pensions","Operational Delivery","20","20","26070","27320"
"In post","2023","Commercial","Home Office","Home Office","Commercial","120","120","40730","40380"
"In post","2023","Commercial","Home Office","Home Office","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Home Office","Home Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Home Office","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","Commercial","20","20","51540","51590"
"In post","2023","Commercial","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Commercial","15","15","39720","35460"
"In post","2023","Commercial","Maritime and Coastguard Agency","Department for Transport","Commercial","20","20","40730","40180"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Commercial","10","10","[c]","[c]"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Finance","5","5","[c]","[c]"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Operational Delivery","25","25","44800","41480"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Commercial","20","20","45170","42460"
"In post","2023","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Other","130","120","42380","43070"
"In post","2023","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Policy","10","10","[c]","[c]"
"In post","2023","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","[c]","[c]","[c]","[c]"
